name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money
青光眼,绿风内障,眼,所有人群,无传染性,医保疾病,眼科,瞳孔检查 前房的一般检查 眼压计测量法 视野检查 眼球突出度 [详细],高眼压 眼压突然迅速升高 眼胀 眼痛 视力障碍 [详细],慢性闭角型青光眼 便秘 急性闭角型青光眼 拉肚子 呕吐 [详细],西医药物治疗、西医手术治疗、中医治疗 [详细],硝酸毛果芸香碱... 拉坦前列素滴眼... 马来酸噻吗洛尔... [详细],1-3年,60%,市三甲医院约500--5000元
肠梗阻,,肠,所有人群,无传染性,医保疾病,消化内科 胃肠外科,胃肠道疾病的超声检查 腹部透视 腹部平片 粪便性状 一般摄片检查 [详细],肚子疼 恶心与呕吐 排便障碍 停止排气 胃肠气胀 [详细],呕吐 [详细],药物治疗、手术治疗 [详细],甘油 麻仁软胶囊 麻仁润肠丸 [详细],7-10天,85%,
肺气肿,"阻塞性肺气肿,终末细支气管远端部分慢性支气管炎,慢阻肺",肺,中老年人,无传染性,医保疾病,呼吸内科 心胸外科,支气管镜 胸廓检查 肺通气量 胸部疾病体征检查 胸部平片 [详细],咳嗽 肺源性呼吸困难 呼气时两颊鼓起和缩唇 肺过度充气 紫绀 [详细],慢性肺源性心脏病 阻塞性肺气肿 胃溃疡 肺动脉高压 自发性气胸 [详细],西医治疗、中医治疗 [详细],祛痰止咳颗粒 十五味龙胆花丸 补金片 [详细],>120天,0.50%,
睾丸炎,附睾-睾丸炎,睾丸,男性，青壮年男性具多,无传染性,医保疾病,男科,雌酮 阴囊超声检查 男性生殖系X线检查 解脲脲原体 [详细],睾丸胀痛 阴茎和阴囊水肿 睾丸疼痛 提睾反射减弱或消失 睾丸触痛 [详细],血尿 [详细],药物治疗 [详细],卡铂注射液 头孢泊肟酯片 盐酸米诺环素胶... [详细],7天,99.40%,
强直性脊柱炎,类风湿性脊柱炎，畸形性脊柱炎，类风湿中心型，龟背,脊柱 免疫系统,10～40岁，平均发病年龄为25岁，男性较女性多见,无传染性,非医保疾病,风湿科 中医科,脊柱检查 骨关节及软组织CT 血清类风湿因子 血液生化六项 腰背部检查 [详细],晨僵 持续性疼痛 骶髂关节疼痛 关节疼痛 腰脊椎疼痛 [详细],房室传导阻滞 心肌炎 主动脉瓣关闭不全 前列腺炎 脊髓压迫症 [详细],药物治疗 [详细],萘普生片 萘普生片 萘普生片 [详细],>120天(大部分需要终身治疗),20%(控制症状治疗为主，手术为辅。),市三甲医院约（3000 —— 8000元）
龟头炎,"龟头黏膜炎,阴茎头炎",阴茎,青壮年,无传染性,医保疾病,男科 泌尿外科,浆细胞 真菌检查 皮损 [详细],尿道口有红斑和水肿 龟头瘙痒 阴茎表浅性溃疡 阴茎和阴囊水肿 阴茎龟头橡皮肿 [详细],前列腺炎 老年男性性功能障碍 睾丸炎 [详细],药物治疗（请阅读龟头炎的药物治疗） [详细],磷霉素氨丁三醇... 醋酸氟轻松搽剂 一次性载液抗菌... [详细],10天,90%,
结肠癌,,肠,多见于中老年人，30～69岁占绝大多数，男性多于女性。,无传染性,医保疾病,肿瘤科 胃肠外科,血清CA199 肿瘤筛查 细菌的鉴定 血清组织多肽抗原 胃肠道CT [详细],便秘伴剧烈腹痛 癌细胞逆行播散 便血 排便感 便血且血与粪便混合 [详细],直肠癌 贫血 肠梗阻 肠癌 [详细],手术治疗、放化疗 [详细],复方氟尿嘧啶口... 去氧氟尿苷胶囊 氯氧喹 [详细],1-3个月,30-50%,
性冷淡,性欲减退,女性生殖 男性生殖,成年人、女性多见,无传染性,非医保疾病,生殖健康,性激素六项 [详细],性欲减退 抑郁 易性别癖 快感缺乏 阴道干涩 [详细],,心理治疗 药物治疗 [详细],龟鹿补肾丸 补肾斑龙片 生力雄丸 [详细],2-4周,85%,
阴道炎,,阴道,育龄期女性,无传染性,医保疾病,妇科,阴道妇科常规检查 阴道分泌物涂片 阴道触诊 阴道清洁度 药敏试验 [详细],排尿时外阴灼热、瘙痒或疼痛 白带增多 尿急 尿痛 性交疼痛 [详细],,局部用药、全身用药、男女双方同时治疗 [详细],保妇康栓 消糜栓 制霉素阴道栓 [详细],7-10天,90%,
流感,流行性感冒,鼻 咽喉,所有人群，儿童,有传染性,医保疾病,传染科 呼吸内科,血凝抑制试验 [详细],怕冷 头痛 浑身酸痛 咽喉疼痛 发烧 [详细],便秘 黄疸 鼻窦炎 细菌性肺炎 胸腔积液 [详细],药物治疗 [详细],金感胶囊 复方感冒灵颗粒 玉叶解毒颗粒 [详细],治疗周期14天,治愈率96%,市三甲医院约（500-1000元）;
肝囊肿,单纯性肝囊肿,肝,中年女性,无传染性,医保疾病,肝病 肝胆外科,肝脏超声检查 磁共振血管造影 肝、胆、脾CT 血清白蛋白与球蛋白比值 肝、胆、胰、脾MRI [详细],腹部肿块 囊肿样改变 肚子疼 肝肿大 脉氧合不足 [详细],暂无相关资料,手术治疗 [详细],甘草甜素片 拉米夫定片 硒酵母片 [详细],1-3个月,80%(外科手术治疗),市三甲医院约（3000-5000元）
鹅口疮,念白菌病，雪口病，新生儿鹅口疮,口,婴幼儿 ，刚出生的小宝宝,无传染性,医保疾病,儿科 口腔科,口腔内窥镜 吞噬白色念珠菌功能试验 扫描电子显微镜 皮肤涂片显微镜检查 涂片 [详细],口腔难愈的白色片状物 口腔粘膜上白色较硬的隆起斑块 口腔念珠菌感染 口角生疮 口腔痛 [详细],脱水 脑膜炎 [详细],药物治疗 [详细],度米芬含片 氟康唑片 一清胶囊 [详细],7天,99%,
大肠癌,大肠恶性肿瘤,肠,中老年人群,无传染性,非医保疾病,肿瘤科 胃肠外科,蛋白质类肿瘤标志物 血清癌胚抗原 p53基因 血红蛋白浓度 MRI [详细],腹部肿块 肚子疼 便血 大便变细形似铅笔 排便障碍 [详细],贫血 坐骨神经痛 [详细],药物治疗、手术治疗 [详细],消癌平片 消癌平糖浆 注射用唑来膦酸 [详细],3-6个月,20%,
非淋菌性尿道炎,非淋,尿道,成年人,有传染性,非医保疾病,妇科 泌尿外科,外生殖器检查 淋球菌免疫学检测 尿道口检查 尿道分泌物检查 白带常规 [详细],尿急 尿痛 尿道刺痒 小便淋漓 尿道口疼 [详细],盆腔炎 前列腺炎 睾丸炎 输卵管炎 宫外孕 [详细],药物治疗 [详细],复方石韦颗粒 解毒通淋丸 甲苯磺酸妥舒沙... [详细],2-4周,95%,
淋巴癌,恶性淋巴瘤,淋巴,所有人群,无传染性,非医保疾病,肿瘤科 血液科,血液生化六项 皮肤试验 尿常规 肿瘤前哨淋巴结显像 细胞免疫检查 [详细],淋巴结肿大 体重减轻 发烧 肝肿大 淋巴道转移 [详细],吸收不良综合征 淋巴瘤 瘙痒症 痒疹 拉肚子 [详细],药物治疗、手术治疗、放化疗 [详细],注射用盐酸吡柔... 注射用环磷酰胺 卡莫司汀注射液 [详细],1-3年,10%(系统治疗后患者5年生存率达到80%),
甲沟炎,,手部 足部,除了儿童，其他的人群，男性多于女性,无传染性,医保疾病,皮肤科 中医科,,脓肿 手指尖痛或触痛 发烧 脓疱 指（趾）甲颜色改变 [详细],,药物治疗、手术治疗 [详细],曲安奈德益康唑... 达克宁乳膏 20m... 复方硝酸咪康唑... [详细],20天,80%,
乳房纤维瘤,"乳房瘤,纤维瘤",乳房,乳房肿块、经前乳房胀痛不适，.常见于20～25岁青年妇女,无传染性,医保疾病,乳腺外科 妇科,乳腺B超 钼靶X线检查 乳腺导管造影 乳房穿刺针活检 [详细],乳房内光滑质韧的球形肿块 巨乳 乳头肥大 女性乳房表浅质硬状如象皮者的皮下结节 囊肿 [详细],乳房纤维腺瘤 [详细],手术治疗 [详细],乳核散结片 散结乳癖膏 乳安片 [详细],3-6周,99%,
乳头内陷,乳头凹陷,乳房,少女，初产妇，哺乳期女性。,无传染性,医保疾病,乳腺外科 妇科,乳房检查 乳房视诊 乳房触诊 [详细],乳晕深部可扪及肿块 乳腺内无痛单发的硬肿块 [详细],急性乳腺炎 [详细],手法牵拉、吸允、药物治疗 [详细],枸橼酸他莫昔芬... 盐酸左氧氟沙星... [详细],5--7天,60%,
红眼病,"急性卡他性结膜炎,火眼,红眼",眼,所有人群,有传染性,医保疾病,眼科 传染科,眼及眶区CT [详细],眼睛发红 睫状充血 泪溢 红眼 目痛 [详细],结膜炎 卡他性结膜炎 [详细],中药治疗、西药治疗 [详细],炎可宁片 盐酸羟苄唑 明目蒺藜丸 [详细],7--10天,90%,市三甲医院约（300—— 600元）;
胰腺癌,胰癌,胰腺,成年女性，哺乳期女性更易得,无传染性,医保疾病,肿瘤科 肝胆外科,抑癌基因Rb 糖脂类肿瘤标志物 肿瘤标志物 血清CA199 肿瘤受体显像 [详细],上腹部疼痛 上腹部肿块及腹胀 横结肠移位 乏力 消瘦 [详细],,手术治疗、放射治疗 [详细],注射用核糖核酸... 注射用核糖核酸... 注射用核糖核酸... [详细],3--6个月,0.30%,
萎缩性胃炎,慢性萎缩性胃炎，胃痞,胃,所有人群,无传染性,医保疾病,消化内科,胃镜 电子胃镜 纤维胃镜 无痛胃镜 五肽胃泌素胃液分析 [详细],上腹不适 上腹部疼痛 食欲不振 腹胀 胃粘膜呈萎缩性改变 [详细],暂无相关资料,药物治疗 [详细],摩罗丹(浓缩丸) 胃灵颗粒 消食十味丸 [详细],1-3个月,60%,市三甲医院约（5000 —— 10000元）
绝经,经闭,卵巢 子宫,女性45－55岁,无传染性,非医保疾病,妇科,雌二醇 血清卵泡刺激素 血清促甲状腺激素 促黄体生成素 血清鳞状上皮细胞癌抗原 [详细],乏力 绝经 尿急 尿频 潮红潮热 [详细],骨折 冠心病 尿道癌 人流后妇科病 女性尿道癌 [详细],手术治疗 [详细],坤宝丸 更年宁 更年安片 [详细],20天,10%,
肛裂,肛门裂,肛门,青壮年，男性比女性多见,无传染性,医保疾病,肛肠外科,肛门指检 大便血液 [详细],排粪时肛门灼痛 便血 肛裂溃疡 肛门剧痛 肛裂三联征 [详细],肛窦炎 葡萄痔 [详细],药物治疗、手术治疗 [详细],马应龙麝香痔疮... 美沙拉秦肠溶片 痔炎消颗粒 [详细],3-6周,98%,
小儿急性支气管炎,小儿外感咳嗽，急性气管支气管炎,肺,儿童人群,无传染性,非医保疾病,儿科 呼吸内科,胸部平片 [详细],支气管分泌物增加 胸痛 疲劳 湿啰音 干咳 [详细],肺炎 喉炎 副鼻窦炎 [详细],药物治疗、支持疗法 [详细],小儿化痰止咳颗... 小儿清热灵 止咳枇杷颗粒 [详细],治疗周期7天,治愈率98.9%,
十二指肠溃疡,,肠,男性发病率明显高于女性，多见于青壮年,无传染性,医保疾病,消化内科 胃肠外科,幽门螺杆菌检测 内镜检查 14C呼气试验 尿素酶试验 碳13尿素呼气试验 [详细],上腹部疼痛 反酸 烧心 溃疡疼痛 嗳气 [详细],消化道出血 肺炎 消化性溃疡 上消化道出血 脱水 [详细],药物治疗、手术治疗 [详细],盐酸雷尼替丁胶... 复方石菖蒲碱式... 盐酸雷尼替丁胶... [详细],10-30天,80-90%,市三甲医院约（3000 —— 5000元）
膀胱炎,,膀胱,中年女性，新婚女性,有传染性,医保疾病,泌尿外科 中医科,尿常规 泌尿系统CT 尿细菌培养 膀胱B超 膀胱造影 [详细],尿频 尿急 尿痛 白细胞尿 脓尿 [详细],肾积水 膀胱输尿管反流 [详细],药物治疗（请阅读膀胱炎的药物治疗） [详细],泌淋清胶囊 复方石韦颗粒 磷霉素氨丁三醇... [详细],7-10天,90%,市三甲医院约（500 —— 1000元）
狂犬病,恐水症,全身,所有人群，大多是儿童,有传染性,医保疾病,传染科,脑脊液检查-化学检查-蛋白质检查 [详细],低烧 三怕(水声、光、风)现象 恐水症 躁狂与昏睡交替 喉头痉挛 [详细],急性心力衰竭 尿崩症 高血压 呼吸性碱中毒 低血压 [详细],药物治疗、对症治疗 [详细],人用狂犬病疫苗... 冻干人用狂犬病... 冻干人用狂犬病... [详细],2-8周,0.01%,市三甲医院约（3000-5000元）;
植物神经紊乱,"植物神经功能失调,植物神经功能紊乱，植物神经功能障碍",周围神经系统,压力较大、生活没有规律的人群多见,无传染性,医保疾病,神经内科 中医科,神经系统检查 脑电图 闭目直立试验 [详细],注意力不集中 梗噎 反应迟钝 极速型心率 焦虑 [详细],神经衰弱 [详细],神经营养药治疗、生活习惯调整 [详细],谷维素片 谷维素片 维生素B1片 [详细],1年,79%,
半月板损伤,,膝部 下肢骨,青壮年运动员,无传染性,医保疾病,骨科 中医科,四肢的骨和关节平片 骨与关节MRI 关节镜 站立位研磨试验 凯洛格-斯皮德试验 [详细],关节响痛 关节疼痛 打软腿 伸膝障碍 关节肿胀 [详细],腘动脉损伤 [详细],药物治疗，关节镜手术 [详细],跌打丸 三七伤药片 活血止痛胶囊 [详细],4-6个月,60%(外科手术治疗),
肾囊肿,"单纯性肾囊肿,孤立性肾囊肿",肾,成年人,无传染性,医保疾病,肾内科 泌尿外科,泌尿系统CT 肾脏CT 肾脏B超 肾脏MRI 尿管型 [详细],腰部包块 腹部不适 上腹部疼痛 腰部钝痛 血尿伴蛋白尿 [详细],高血压 [详细],手术疗法 [详细],应该如何用药？用什么药？ [详细],3个月,70%,
血管瘤,,皮肤 全身,少年，青年，儿童,无传染性,医保疾病,血管外科 肿瘤科,胸部CT 肝、胆、胰、脾MRI [详细],血管痣 血管畸形 红斑样皮疹 红斑结节 腹部肿块 [详细],软骨发育异常 心力衰竭 [详细],西医药物治疗、手术治疗、中医药物治疗、物理治疗 [详细],碘海醇注射液 注射用纤溶酶 五妙水仙膏 [详细],3-6周,95%,市三甲医院约（3000 —— 8000元）
