department,title,ask,answer
呼吸科,孕妇感冒咳嗽鼻塞怎么办？,一直想要个宝宝，怀上有四五个月，换季时不小心着凉感冒了，咳鼻塞，但据说孕妇不能够喝药，我个人也比较难过吃了药对宝宝的生长发育有影响，所以想您好孕妇感冒咳鼻塞怎么办？,您好，现在是怀上阶段，如果有感冒的症状的话，您可以决定使用中成药物来实施治疗，一般可以用莲花清瘟，这个效果也比较好，没任何的副作用，另外您一定要留意多喝水，留意歇息，这样就可以帮助彻底恢复的。除了就是如果身体上再次出现其他异常的表现出，一定要及时的去仔细检查。
呼吸科,感冒咳嗽有痰吃什么药？,医生，你好。我已经开学有几周了，但是我也感冒了好几周，可能会是水土不服的原因吧。我一直都有在咳，而且还会有痰，我吃了许多药都不见踪影效果。那感冒咳有痰吃什么药呢？,您好咳有痰与感冒，咽喉炎扁桃体炎，上呼吸道感染支气管炎等原因关于，不能够排除肺炎可能会，可以服食连花清瘟胶囊，扑尔敏片，氨溴索口服液等药物治疗调养，多喝温水多吃蔬菜水果润喉增进痰咳出有助于病情彻底恢复，留意个人卫生防止着凉不要吃辣的。
呼吸科,风寒感冒咳嗽白痰怎么治疗？,风寒感冒咳白痰怎么治疗？,风寒感冒，咳有白痰的患者，主要症咳嗽痰多色白量多，兼具胸脘作闷，鼻塞，流清涕，全身酸痛，易疲劳等症状。临床诊断上常用杏苏散和二陈丸实施治疗。在用药物治疗的同时，应忌食辛辣刺激性的食物和寒凉性食物，多吃易消化营养丰富的食物，宜清淡饮食，留意歇息。
呼吸科,3岁宝宝感冒咳嗽流清鼻涕怎么办？,儿子今年3岁，前两天感冒了有点高烧，有时候温度高没过多久就退下去了，然后又高下来，而且一直咳嗽流鼻涕，您好3岁宝宝感冒咳，流清鼻涕，不思饮食，还高烧怎么办？,三岁小孩感冒咳考虑大多数是病毒引来的西药就可以，就可能会效果更好，也退热了，可以吃点布洛芬，对乙酰这个都可以，吃点儿小儿感冒的药，比方说小儿氨酚黄纳米颗粒，让孩子多喝水，多喝热水，不要让孩子有过量的活动，少吃许多垃圾食品。祝福患者早日康复，拥有健康的身体和美好的生活。
呼吸科,感冒咳嗽胸部麻木15天是怎么回事？,感冒咳胸部麻木15天是怎么回事？,感冒咳再次出现胸部麻木的症状，一般都是由于遭到了一定的影响才会引来的，这时候有可能是长时间的异常受力引来了局部神经损伤，或者是说因为长期的咳所引来的，所以说这种情况只有咳停止下来之后，症状才会慢慢彻底恢复，一般可以使用甘草片或者是清肺糖浆来治疗。
呼吸科,请问医师感冒咳嗽如何解决,在空调房里吹空调，然后晚上没盖好被子，第三天发觉头有点晕，再次出现鼻塞，觉着自己感冒了，然后嗓子特别不舒服，感觉被什么堵上了，之后就一直在咳，感觉嗓子咳多了都痛了，声音也变得暗哑了，怎么解决感冒咳呢?,再次出现的咳，是患上了感冒引来的，感冒多拥有是病毒性引来的上呼吸道感染，一般是着凉引来的，建议你服食中成的感冒药治疗和清肺凉血的药物治疗，如抗病毒口服液，蛇胆川贝液等具体用药谨遵医嘱，留意清淡饮食，预防工作着凉感冒，不要吃刺激性的东西。祝健康。
呼吸科,怀孕初期感冒咳嗽吃什么药？,我现在怀上1个多月了，怀上初期感冒咳吃什么药？怀上生病的话该怎么办呢？,在孕早期，女性身体条件如果不好的话，再加上又有生命需要有消耗体内大量的营养是容易再次出现感冒发烧咳等症状表现出的。如果症状比较严重的话，仅仅多喝水可能会是无法解决。这个情况最好去医院弄清楚感冒咳的类型，这样才好针对性的使用药物，在孕期用药一定要慎重，不能够使用孕期停止使用药物。
呼吸科,感冒咳嗽的推拿手法？,已经感冒好长时间了，还咳，都还没有好，不知晓哪里有治感冒咳的针灸手法，有谁知道感冒咳的针灸手法？,亲爱的咨询者您好，患感冒咳后不宜使用针灸推拿等方法，需要有根据症状服食感冒咳药物实施治疗，没发烧，同时有流鼻涕，打嗝，咳等决定美敏伪麻口服液，联手氯雷他定分散片，复方右美沙芬清肺糖浆治疗，咳1周以上没转好的需要有去医院仔细检查如何支原体感染等引来。
呼吸科,小儿感冒咳嗽推拿手法？,宝宝感冒了，家里人都说不喝药了，宝宝太小了，少喝药，小儿感冒咳针灸手法有哪些？,宝宝感冒咳，要质疑是受寒，身体抵抗力差，感冒引来上呼吸道感染，可以推拿小横纹，天突穴，对咳感冒效果很好。多给宝宝喝水，清淡饮食，始终保持室内空气新鲜，不要受寒。可以用冰糖炖雪梨吃，有润肺清肺，凉血祛痰的功效，可以互相配合吃头孢克洛颗粒，氨溴索颗粒，蛇胆川贝液治疗。
呼吸科,感冒咳嗽支气管发炎怎么办？,这几天我感冒比较严重，而且一到晚上就一直咳不停。就致使我的支气管发炎了，比较严重。因此我想问感冒咳，支气管发炎了怎么办？,对于这种情况，可以口服琥乙红霉素片，复方甘草片，氨溴索口服液等药物实施治疗，另外，也可以煎服清肺凉血，润肺等中药互相配合治疗，再者，要留意多歇息，适当多喝些白开水，防止受寒，如果没明显减轻的话，可及时到医院复诊，输液治疗。祝福患者早日康复，拥有健康的身体和美好的生活。
呼吸科,小儿支气管炎治疗吃什么好？,患者最近感觉浑身都不怎么舒服，小儿支气管炎治疗吃什么好？,小儿支气管炎如果不严重的时候，一般情况下是不建议用消炎药治疗的，可以喝点小儿清肺凉血口服液。或者是橘红颗粒这两类的润肺清肺凉血的药物治疗。如果感觉炎症特别严重的时候，可以吃点消炎的药物，阿莫西林或者是头孢氨苄。平时还应当留意防寒，不要着凉。
呼吸科,小儿支气管炎引起的咳嗽咋样治疗？,小儿支气管炎引来的咳咋样治疗？,支气管肺炎引来的咳，这个情况可以喝小儿橘红颗粒，互相配合阿奇霉素，或者是百蕊颗粒，互相配合头孢氨苄治疗。如果有痰的情况下，可以和氨溴索口服液。如果再次出现喘的现象，可以互相配合，孟鲁司特咀嚼片。平时应当留意防寒，不要吃辛辣油腻的食物。祝健康。
呼吸科,请问有哪些治疗小儿支气管炎方法呢？,医生，你好！我儿子最近患上了支气管炎。我不知晓这是由于什么引来的？您好有哪些可以治疗小儿支气管炎方法？有哪些药是可以吃的呢？生活上有哪些地方是需要有特别注意的吗？,支气管炎的再次发生于传染因素有关系，比如说细菌病毒或者支原体的传染是比较常见的原因，建议，传染支气管炎之后可以做有关的仔细检查，初步的确认原因，再决定对症的药物实施治疗，日常生活中要留意防寒，防止着凉，也可以互相配合许多食疗的方法。祝您健康。
呼吸科,小儿支气管炎用药哪个比较好呢？,三岁的儿子最近查出来了支气管炎，医生给用药，您好小儿支气管炎用药哪个比较好呢？,孩子得了支气管炎，有的是细菌感染，有的是病毒感染，所以不同的支气管炎决定不同的药物。如果是细菌感染引来的，可以使用阿莫西林或者头孢等抗生素实施治疗，如果是病毒感染，可以使用奥司他韦，如果是支原体感染，可以使用阿奇霉素等。具体药物的用法用量请遵医嘱。
呼吸科,小儿支气管炎怎样治疗好？,您好，我儿子连续咳两个星期了，打了点滴，吃了药都不见踪影好，昨天做了全面仔细检查，说是已经演变陈支气管炎了，现在要治好更难了，您好医生，小儿支气管炎，怎样治疗好？,宝宝在有支气管炎期间，应当留意防寒，不要着凉，还需要有留意清淡饮食。不要吃太油腻的食物，因为太油腻的食物容易致使咳痰液的不断增多。可以喝点小儿清肺凉血口服液，互相配合铺地蓝口服液。这种药物拥有是中成药制剂，能起些润肺清肺凉血的作用。祝您健康。
呼吸科,小儿支气管炎严重不？,宝宝这两天着凉之后就一直咳，而且喉咙还很响到医院去仔细检查发觉是小儿支气管炎严重不？,您好，儿童肺部生长发育不完善，免疫力也比较低，再次出现小儿支气管炎是呼吸道感染比较易发的疾病，和细菌病毒感染有关系。咳得厉害的可以口服氨溴特罗口服液加达力芬，低于一岁的体重高于20斤留意药物加量，症状用药3-5天不缓解需要有到医院复诊。祝健康。
呼吸科,小儿支气管炎吃什么好,我儿子早两天淋了一点儿雨，感冒又咳。给他吃了一点儿感冒药就没去管他。咳越来越严重，昨天带他去看了一下，说变作了小儿支气管炎。您好小儿支气管炎吃什么好？,如果有小儿支气管炎，这拥有是炎症传染，需要有用消炎的药物治疗。可以吃小儿清肺凉血口服液，互相配合阿莫西林，或者是头孢克肟这两类的消炎药物治疗。在这期间还应当留意防寒，不要着凉清淡饮食，不要吃太油腻的食物。还需要有留意多喝热水增进彻底恢复。祝健康。
呼吸科,感冒咳嗽胸部麻木15天是怎么回事？,感冒咳胸部麻木15天是怎么回事？,感冒咳再次出现胸部麻木的症状，一般都是由于遭到了一定的影响才会引来的，这时候有可能是长时间的异常受力引来了局部神经损伤，或者是说因为长期的咳所引来的，所以说这种情况只有咳停止下来之后，症状才会慢慢彻底恢复，一般可以使用甘草片或者是清肺糖浆来治疗。
呼吸科,冷感冒咳嗽应该吃什么药？,这几天很我就吃了好几根雪到了晚上睡午觉又没盖被谁知道第三天早上下来又又感可真痛。我又不喜欢去医就一直没可今天好象又严重了。在乎怎样的帮助：冷感冒咳应当吃什么药?,你好，这种情况必须多歇始终保持充足的深度睡多喝多吃蔬菜和水饮食应清淡易消留意防寒和复检。咳是一种常见的感冒病是人体的一种保护性反映。如果咳用药不不仅不能够清肺还会缓解病情。如果咳剧建议到医院化验血常仔细检查肺部拍片防止引来支气管炎或者肺炎。
呼吸科,宝宝感冒咳嗽应该咋办？,医生你我家宝宝三岁现在感冒有点尤其是晚上特别厉有时候睡午觉都睡不想问一下一张这种情况应当怎么办？用用不着去打点滴？,根据你所叙述的症我有如下建议：如果孩子的咳是一种刺激性的轻并且在晚上很明这种情况是可以考虑支原体感染而引来的呼吸道感染的表现出。多是由于感冒的时候抵抗力上升引来的。最好带孩子到医院的小儿科做血常支原体抗体和胸部X光根据医生的建这样比较好。在饮食上一定要清否者肥腻。
呼吸科,风热感冒咳嗽吃什么好的快？,天气越来越冷了。我需要有穿漂亮的衣而且看上去很瘦方才能胜任这份培所以我因为穿单薄的衣服而感冒了。我还流鼻有点发烧。我觉着我要奔溃了。您好能告诉我风热感冒咳吃多快吗？,西药治疗感冒一般是抗病毒救用重感冒、速效、酚麻美敏混悬液等治疗。如果再次出现咳症还需要有清肺、咳必清、高热等止咳用柴胡针和清开灵或尼美舒利救而治疗感冒的中药应区别于感冒又感冒可视作鼻堵血流通畅。金银花具备清热解毒效对治疗风热感冒有良好的疗效。
呼吸科,怀孕4个多月感冒咳嗽要如何治疗？,我已经怀上四个多月了。这些天我身体不好。我感冒咳了。我觉着很不舒不敢喝所以我想请医生给我许多好建议。怀上4个月后如何治疗感冒和咳？,怀上4个月以尽量不要服食西药治疗感冒和咳。有人建议你可以服食中药实施调养。一般来一段时间后条件会有所改善。或病人可以在家煮许多冰糖梨水来清肺。平时不要吃辛辣影响的食多喝多吃新鲜水果和蔬这将有利于病人恢复健康。建议在怀上期作好保饮食营养配搭恰多吃新鲜的果疏和含蛋白质的饮及时作好各项的仔细检不定期产有异常情需要有及时复诊。
呼吸科,孕妇感冒咳嗽应该吃什么药？,孕妇感冒咳吃什么药？,这种情况的话就是如果不是很严重的建议多喝点多留意歇息如果很严重的建议去医院抽血化验个血常除了就是超敏c反映蛋白看一看这两个指如果个子都很厉害的就需要有实施抗生素解决另一种如果问题不那么只需多吃水果和蔬多留意歇一般情况良或者你可以吃许多中成然后调养治疗。
呼吸科,孕期女性感冒咳嗽痰吃什么？,我怀上已经5个多月这段时间总是感冒而且痰也挺多也没敢乱喝孕期女性感冒咳痰吃什么？,孕期女性再次出现感冒咳嗽痰在食疗的方法没效那么可以到医院救排除肺部感染或者是支气管肺然后实施药物救在决定药物时应当要尽量的防止决定透过来胎盘屏障的药具体药物的用法用量应当按照临床诊断医生的医嘱。平时饮食习惯要良孕妇尽量办到饮食清淡。另因为孕妈在这个特殊时千万千万不要私自服食任何药物。
呼吸科,感冒咳嗽吐沫多没有鼻涕怎么回事？,我应当被我的同事传他们都感冒因为今天我总觉着我咳和吐痰许但没流鼻涕。我只是觉着虚弱和头痛。我不想说话。我想问咳和吐痰可有流鼻涕。我应当吃什么药？,你也传染了这种情有点感冒的早期症可以口服清肺凉血和清热解毒的药物治疗。或者做雾化吸进疗或者去专业按摩店做推拿。留意歇少培多喝白开水。多吃蔬菜和水多吃有营养的食少吃油腻和辛辣的食物。留意消化足够多的营生病期间对营养素的需要量相对较营养不抵抗力就比较所以一定要办到营养均衡。
呼吸科,感冒咳嗽有痰怎么吃好的快？,前两天吹空调感冒吃了许多药效果不怎么想要理解一下感冒咳有痰吃什么东西好的快？,如果感冒伴发在姜红糖水中参与2到3瓣大蒜煮。将水、红糖、姜和大蒜放入锅用小火煮10分钟左右。长时间煮开的目的是为了煮开大蒜的辛辣味这样会更好。2。蒸大蒜水。首取2-3片大四分五裂后放入碗中。在加半的大蒜水热大蒜就不能够吃了。通常一天2-3个小碗。蒜入脾、胃、肺稳定感冒肾虚咳效果更佳。
呼吸科,感冒咳嗽可不可以吃花生？,我前段时间感冒然后就已经开始嗓子不舒服一直在我昨天吃了一点儿花不知晓可有干扰啊？您好咳可以吃花生吗？,花生对咳没干也绝不会缓解病情。咳应当积极治疗。我是建议你去医院仔细检查。如果是由病毒感染引来你可以口服许多抗病毒药物。如果是由细菌感染引来你可以服食许多消炎药来清肺。出外时戴上口去不太拥挤不堪的地方以防交叉感染。在饮食上呢饮食要清淡一点多吃蔬菜、水等食物。
呼吸科,感冒咳嗽流鼻子应该怎么治疗？,因为最近天气变凉了的原我没及时提供衣物致使自己感冒咳还留鼻前几天我在药店买了点吃了也没什么效这两天病情有点缓解您好感冒咳流鼻子怎么治疗？,建议首先服食许多抗感冒的可以首先决定氨酚脘氨这两类的药物既能治疗流感的症状又能抗衡流感病同时也可以酌情使用许多头孢类的消炎如果嗓子疼痛红酌加许多清热解毒的中成连续治疗3~5天约这些症状一般能获得压这期间一定要留意测量体温。总尽快就按照医生的叮嘱去喝千万千万不要自己自作主这样的危害是很大的。
呼吸科,感冒咳嗽有点发烧怎么回事？,昨天晚上我们那边突然降温而且我睡午觉的时候还讨厌动来动去然后第三天早上下来就有点感冒发低烧而且今天补课的时候还有点您好感冒咳有点发烧应当怎么办啊？,感冒了以后有点发而且有咳的症有可能是和咽喉炎或尿道的炎症有关系。可以服食点感冒药和抗病毒的药物救服食点消炎药和化痰止咳的药多喝多吃营养容易吸收的食要留意如果咳的时间不长的是不需要实施支原体抗体检验应当考虑细菌性支气管炎等疾病引发的可能考虑如何该去医院做血常规等有关的仔细检确认病因以后再治疗。
呼吸科,咳嗽口腔有血会是肺癌吗,女41岁，没感冒但是早上发觉口腔有血、用力咳也咳出点点鲜血，平时身体很好的，平时身体很好的，最近也没哪里不舒服，现在会是肺癌吗？,您肺部肿瘤可以再次出现血性痰但是还可再次出现咳咳痰和胸部疼痛的情用力咳有鲜血还足见于口腔出血或者咽喉部粘膜伤损所致出血。建议到当地医院口腔科实施口腔检查看有否口腔粘膜破溃或者牙龈出血的情如果有咽喉肿痛还需实施咽喉部仔细检必要时实施胸部CT检查。
呼吸科,得了过敏性哮喘怎么办？,医生我的女儿昨天突然无缘无故已经开始打嗝流鼻涕除了流眼泪，就带她去医院仔细检查了，结果发觉是得了过敏性哮喘，您好医生，小孩得了过敏性哮喘怎么办？能治得好吗？,您好孩子打嗝，流鼻涕，流眼泪与感冒着凉，过敏刺激等原因关于，与哮喘关系不大，过敏性哮喘容易引起咳气喘，呼吸困难等情况，闹肚子碰触过敏原容易反反复复病发，可以口服小儿氨酚黄那敏颗粒，抗过敏等药物治疗调养，天气空气不好出外戴口罩禁止着凉以免刺激反反复复病发。
内分泌科,糖尿病一般需要怎么治疗？,我妈定期检查仔细检查的时候，仔细检查出患糖尿病，糖尿病需要有怎么治疗？我大概知晓是需要有控制糖量，但是不清楚其他除了什么需要有注意的，同时治疗的时候有什么吗？,糖尿病患者首先通过饮食控制和锻练运动，肥胖患者把体重降下来等方式调整一下看一看，如果血糖仍然偏高的话，要考虑决定合适的降糖药治疗，通常可以先决定口服降糖药，并且注意监测数据好血糖；还要防止含糖量高的食物，原则上甜食要尽量避免，还要防止暴饮暴食，适当锻练运动，控制体重。
内分泌科,糖尿病会出现什么症状？,我是不是糖尿病，如何严重，糖尿病的典型症状有哪些?血糖高之后感觉什么东西都不能够吃了，有糖分的东西都不敢吃，怕血糖又高，不知晓是不是变严重了，糖尿病的症状有哪些？,你好，根据你描述的情况看来糖尿病是可以致使血糖异常下降的，可以再次出现三多一少的症状，如喝水多，小便多，饭量大，体重减轻，建议你尽快复诊当地医院内分泌科看一看，需要有让大夫仔细检查你的血糖水平，明确有否糖尿病的情况，及时动用降糖药治疗，平时一定少吃甜食，足量锻练。
内分泌科,治疗糖尿病什么药，疗效较好？,我婆婆今年65岁，前两年仔细检查出糖尿病就一直靠喝药控制治疗，经常说头晕身体不舒服之类的，两年间没断过去医院拿药吃，您好治疗糖尿病什么药，疗效最好？,糖尿病的患者应当口服一些重新调整血糖的药物，常决定的有二甲双胍，格列比嗪，瑞格列奈等，如果一种药物可以把血糖控制在理想范围之内，一般倡导单用药物比较好，平时可以多吃冬瓜，梨，海带，香菇，西兰花菜，胡萝卜等食物，防止大便干结，不要生气，少吃过甜的食物。
内分泌科,糖尿病不吃药靠运动可以痊愈吗？,一个月瘦了20斤，仔细检查说是糖尿病，糖尿病不喝药靠活动可以全愈吗？,您好：糖尿病需要有检验病情的，糖尿病不喝药靠活动不可以全愈。您可以到医院内分泌科复诊一下，实施血糖、糖化血红蛋白、肝功肾功、眼底、下肢动静脉磁共振、末梢神经等仔细检查，根据仔细检查结果再做治疗，可以使用胰岛素或者口服降糖药物治疗。平时注意休息，控制饮食，足量活动，监测数据血糖。祝您早日恢复健康。
内分泌科,口渴体重下降是糖尿病吗？,近半年我的饭量突然减小、讨厌吃甜而且经常口体重上升。您好我是得了糖尿病吗？,你好，根据你的描述，糖尿病是一组以高血糖为特征的代谢性疾病，临床表现有多饮、多尿、多食和消瘦，疲乏无力等，建议及时去医院内分泌科就诊，进一步检查，查空腹血糖，餐后血糖，肝肾功能，尿常规等后，根据检查结果针对性治疗，注意作息、饮食规律，避免熬夜、劳累。
内分泌科,治疗糖尿病用什么药疗效比较好？,我婆婆患糖尿病好多年最近她说自己头晕恶四肢乏我不知晓应当怎么您好治疗糖尿病什么疗效最好？,糖尿病是由隔代遗传和环境因素相互作用而引来的常见临床诊断以高血糖为主要标常见症状有多饮、多尿、多食以及消瘦等。糖尿病的患者主要是在医生的指导下吃许多降糖的药物或者是使用许多胰岛素配置治疗。日常生活中还应当吃许多药物来控制三高，积极的治疗原发病。
内分泌科,什么情况易患糖尿病？,哪些疾病易患糖尿泌尿系统疾病的危害是什么？1型糖尿病的危害是什么？是什么引来的？这种疾病的具体原因是什么？该如何治疗这种疾病？它能有效地自愈吗？会严重吗？,糖尿病危害：糖尿病的慢性并发症对人体危害极大。从血管到神从皮肤到内从眼睛到可以说危险无处不在。尤其是对血管、肾脏、眼睛和脚的伤损尤为薄这是致使冠心病和中风、尿毒症、失聪、截肢的主要原因之一。正确的治疗是病人康复的期望。如果您的健康状况再次出现疾病症请及时到正规医院复以免误机病引发严重后早日康复治疗。
内分泌科,请问糖尿病人能喝伏苓水吗？,糖尿病患者能喝吗？,糖尿病是一种由胰岛素排泄绝对不足引来的内分泌分解代谢疾病。糖尿病易再次发生严重的并发如心脏、大脑、肾脏、眼底和周围血管疾病。建议在医生的指导口服药物与胰岛素治疗相结合。必须控制饮加强锻不定期检验血糖。糖尿病患者可饮用茯苓对降血糖有一定的配置作用。
内分泌科,糖尿病治疗新突破有哪些？,我大伯有糖尿饮食方面伯母很留最近据说有新的糖尿病疗想进行咨询一下糖尿病治疗方面有哪些新的进阶？,糖尿病是一组以高血糖为特征的代谢性疾病。高血糖就是因为胰岛素排泄缺点或其生物作用受或两者兼具引来。目前暂无改善糖尿病的方但通过多种不同治疗手段可以控制好糖尿病。糖尿病时长期存在的高血致使各种联特别是眼、肾、心脏、血管、神经的慢性危害、功能障碍。
内分泌科,血干细胞移植能否康复1型糖尿病？,奶奶患一型糖尿病已经好长时间了。最近感觉身体不我听医生说可以做血干细胞嫁接来缓解症状。您好血干细胞嫁接能不能够改善1型糖尿病？,糖尿病可引来身体多系统的危引来胰岛素绝对或相对排泄不足以及靶组织细胞对胰岛素敏感性减引来蛋白质、脂肪、水和电解质等一连串分解代谢紊乱综合征。并且老年人患1型糖尿病的比较建议于你们当地三甲医院的内分泌科去产检。多吃水果和绿色蔬菜，始终保持心情舒畅。
内分泌科,同时患糖尿病和痛饮食应该注意什么？,我外婆年轻的时候身体很到老了不仅患着糖尿还患痛家里人都很忧所以想问一下同时患糖尿病和痛风饮食上面该怎么留意呢？,淀粉可以为机体提供所需要的能量，但是多余的淀粉会在体内转化为糖分，会加重糖尿病，所以应该限制淀粉的摄入，而糖类更是糖尿病的禁忌，食用糖类能直接加重糖尿病的发病，所以需要限制淀粉不要吃糖，在治疗之余要注意保持睡眠，充足的睡眠才能帮你尽快远离病魔。
内分泌科,糖尿病患者浑身浮肿是怎么回事？,我阿姨已经患了糖尿通常会特别注意她的饮食。她没给她任何甜食。阿姨自己很压绝不会随便吃东但是最近她全身都肿了。糖尿病怎么了？,你根据你的叙糖尿病患者有全身性水肿。考虑到最可能会的并发症是糖尿病肾糖尿病肾病是糖尿病常见的慢性并发建议立即去医院复以免病情进一步继续恶化。内分泌科或肾内科应进一步检查和检验疾病的严重程必要时应在医院进一步治疗，在治疗之余要注意保持睡眠，充足的睡眠才能帮你尽快远离病魔。
内分泌科,日常生活如何有效的预防糖尿病？,朋友最近得了糖尿每天都会觉着头特别的还老是会再次出现想小便的症想进行咨询一下医生日常生活如何有效的预防工作糖尿病,由于走路增强细胞胰岛素受体的数让胰岛素的利用效率更高。试验发天天走35分钟的糖尿病患病风险降低80%。过度肥胖的人花掉5%的体重就能将糖尿病发病率减低70估算一下逐日的摄入看一看自己该少吃有多少。另外多吃全谷物食物也能减低患2型糖尿病的危险。试验也引高血糖者多走扩张成糖尿病的风险增加40%。
内分泌科,糖尿病脸肿是具体怎么回事？,我外公患糖尿病已经好长时间了。最近好象又有了新的情况再次发他的脸最近特别的我们都不知晓是为什所以我想讨教几糖尿病脸肿是怎么回事呢？,由糖尿病并发症引起的。面部水肿可能是肾功能和心脏病的原因，但如果不仔细检查很难确定病因。口服药物治疗。也可能有炎症和其他疾病的迹象，但有些水肿不是疾病的表现，而是一种生理反应。只要你注意一下自己，你就会找到原因。如果你吃得太咸，很容易引起身体水肿的问题。
