original_id,ext_disease,ext_symptoms,ext_drugs,ext_department,ext_alias,error
51,糖尿病,血糖升高,,内分泌科,糖尿病,
52,糖尿病肾病,全身性水肿,,"内分泌科,肾内科",糖尿病肾,
53,糖尿病,高血糖,,内分泌科,2型糖尿病,
54,糖尿病并发症,面部水肿,口服药物,内分泌科,糖尿病相关并发症,
55,糖尿病,高血糖,"西药降血糖药, 小米油, 端茶",内分泌科,糖尿,
56,糖尿病,高血糖,,内分泌科,糖尿病,
57,糖尿病,"高血糖, 多饮, 多尿, 多食, 消瘦",,内分泌科,糖尿病,
58,糖尿病及其并发症,"胰岛素分泌不足, 靶组织细胞对胰岛素敏感性降低, 蛋白质代谢紊乱, 脂肪代谢紊乱, 水和电解质代谢紊乱, 周围神经病变, 下肢血管循环障碍","降糖药物, 降压药物",内分泌科,糖尿病周围神经病变,
59,糖尿病,血糖升高,,内分泌科,糖尿病,
60,糖尿病,,,内分泌科,糖尿病,
61,糖尿病,,,内分泌科,糖尿病,
62,糖尿病,"高血糖, 糖尿病, 甘油三酯偏高","降糖药, 阿托伐他汀钙, 银杏叶滴丸",内分泌科,高血糖,
63,糖尿病,,,内分泌科,糖尿病患者,
64,糖尿病,"胰岛素绝对或相对排泄不足, 靶组织细胞对胰岛素敏感性减低, 蛋白质、脂肪、水和电解质等代谢紊乱, 心血管疾病风险升高",,内分泌科,糖尿病,
65,妊娠糖尿病,"血糖数值升高, 空腹血糖3.3～4.4mmol/L, 尿糖阴性或阳性",,妇产科,孕期糖尿病,
66,糖尿病,"血糖控制不佳, 体内糖分无法分解代谢, 糖分排出体外, 体重减轻, 体重超标",胰岛素,内分泌科,糖尿病,
67,糖尿病,血糖升高,,内分泌科,血糖异常,
68,糖尿病酮症酸中毒,"晕迷, 血压异常, 水肿, 疼痛, 急性咽炎","胰岛素, 抗生素, 激素, 抗炎中药",内分泌科,糖尿病晕迷,
69,尿路综合征,"血糖含量增高, 血液粘度增高, 血液循环不良, 微循环不良, 周围神经营养不良, 手足麻木, 疼痛, 寒冷感, 视力下降, 神经衰弱, 梦境异常, 头晕",格列吡嗪片,内分泌科,尿路综合征,
70,糖尿病,"多食, 多饮, 体重异常",,内分泌科,糖尿病,
71,糖尿病,"多饮, 多尿, 多食, 消瘦, 疲劳, 尿糖, 渴求, 气和阴伤阴阳不抵押品, 疖, 痈, 晕, 胸部崩, 癫痫, 失聪, 肢体疼痛, 坏疽, 肾衰竭, 水肿, 肾功能衰竭, 中风晕迷",,内分泌科,中医的名称,
72,糖尿病,"烦渴, 高血糖, 尿糖",,内分泌科,糖尿,
73,糖尿病肾病,"烦渴, 蛋白尿, 水肿",,内分泌科,烦渴病,
74,糖尿病,"高血糖, 分解代谢异常",,内分泌科,糖尿病,
75,肥胖症,体重增加,,营养科,肥胖,
76,糖尿病,"机体糖分代谢异常, 蛋白质代谢异常, 脂肪分解代谢异常",,内分泌科,胰岛素排泄不足引发的代谢异常,
77,二型糖尿病,"传染, 酮症酸中毒, 高渗性酮症, 昏迷, 乳酸酸中毒",,内分泌科,2型糖尿病,
78,类固醇糖尿病,"葡萄糖代谢紊乱, 血糖异常",糖皮质激素,内分泌科,继发性糖尿病,
79,糖尿病,"多饮, 多尿, 多食, 消瘦, 疲劳, 尿糖, 高血糖, 阴虚, 燥热, 渴求, 气阴伤损, 血瘀, 气阴不抵, 营养障碍, 疖, 痈, 晕, 胸部崩裂, 癫痫, 失聪, 肢体疼痛, 坏疽, 肾衰竭, 水肿, 肾功能衰竭, 中风, 晕迷",,内分泌科,中医名糖尿病,
80,糖尿病,,"二甲双胍, 磺酰脲, 诺维胺, 利拉鲁肽",内分泌科,新发性糖尿病，成人2型糖尿病,
81,尿路综合征,"血糖含量增高, 血液粘度增高, 血液循环不畅, 微循环不畅, 周围神经营养不良, 手足麻木疼痛, 寒冷感, 视力下降, 神经衰弱, 多梦, 头晕",格列吡嗪片,内分泌科,,
82,糖尿病,"高血糖, 微血管损伤, 四肢水肿, 尿频, 尿急","微络康, 洗胰清糖, 玉竹成分胶囊",内分泌科,糖尿病,
85,糖尿病合并肝硬化和脾肥大,,,内科,糖尿病，肝硬化，脾肥大,
86,糖尿病,"多饮, 多尿, 多食, 体重减轻, 高血糖",,内分泌科,,
87,糖尿病,"饭量增多, 口渴, 多尿, 体重减轻",,内分泌科,"糖尿病,高血糖",
88,糖尿病,"血糖高, 尿糖高",,内分泌科,,
89,胆囊结石,,,普通外科,胆结石,
90,糖尿病,"多饮, 多食, 多尿, 身体消瘦",,内分泌科,糖尿病,
91,高血压和糖尿病,"中风, 心脏病, 肾病, 眼病, 高血压, 血糖异常",,内分泌科,高血压和糖尿病,
92,脑梗死,"脑血管狭窄, 脑动脉硬化",,神经内科,脑血管意外,
93,糖尿病,血糖高,,内分泌科,,
94,二型糖尿病,"多饮, 多食, 多尿, 易饿, 消瘦, 吃多, 体重上升, 小便次数增多",,内分泌科,糖尿病,
95,糖尿病,糖尿病,"胰岛素, 格列齐特缓释片, 二甲双胍, 阿卡波糖",内分泌科,"一型糖尿病, 二型糖尿病",
96,糖尿病,,"口服降糖药物, 肌注胰岛素",内分泌科,糖尿病,
97,糖尿病肾病,"腰背酸痛, 肾病肾炎, 反复感冒","降血糖药物, 胰岛素, 消炎药物, 保护肾脏的药物",内分泌科,肾病肾炎,
98,糖尿病,"胰岛功能衰弱, 胰岛素排泄不足, 血糖升高","胰岛素, 降糖药物",内分泌科,糖尿病,
99,糖尿病,"血糖波动, 可能的并发症",,内分泌科,糖尿病,
